DRUG_NAME,FORM/STRENGTH,ITEM_CODE,event_date,pre_price,post_price,price_change,pre_scripts,post_scripts,volume_change,share_of_decline
APIXABAN,Tablet 2.5 mg,02744K,2024-08-01,90.7,69.09,-23.82,90877.42,86483.17,-4.84,0.93
APIXABAN,Tablet 2.5 mg,05061J,2024-08-01,90.36,68.85,-23.8,4753.67,5908.92,24.3,0.93
APIXABAN,Tablet 5 mg,02735Y,2024-08-01,90.67,67.59,-25.45,234097.33,228501.0,-2.39,0.93
ARIPIPRAZOLE,Tablet 10 mg,08717T,2024-04-01,58.68,44.19,-24.68,12211.17,12809.92,4.9,0.77
ARIPIPRAZOLE,Tablet 15 mg,08718W,2024-04-01,78.54,57.47,-26.82,4769.0,5049.0,5.87,0.75
ARIPIPRAZOLE,Tablet 20 mg,08719X,2024-04-01,93.44,67.41,-27.86,4800.67,5003.75,4.23,0.76
ARIPIPRAZOLE,Tablet 30 mg,08720Y,2024-04-01,110.72,79.3,-28.37,3360.33,3375.17,0.44,0.74
DABIGATRAN,Capsule 110 mg (as mesilate),02753X,2023-12-01,81.97,53.08,-35.25,23379.58,19146.67,-18.11,0.83
DABIGATRAN,Capsule 150 mg (as mesilate),02769R,2023-12-01,81.95,52.77,-35.61,15987.5,12891.25,-19.37,0.83
ENOXAPARIN SODIUM,"Injection containing enoxaparin sodium 40 mg (4,000 I.U. anti-Xa) in 0.4 mL pre-filled syringe",08639Q,2025-04-01,83.4,68.64,-17.7,2947.67,2964.0,0.55,0.76
GUANFACINE,Tablet 1 mg (as hydrochloride),11452R,2023-10-01,128.79,68.05,-47.16,10094.08,12560.58,24.44,0.98
GUANFACINE,Tablet 2 mg (as hydrochloride),11451Q,2023-10-01,127.49,67.38,-47.15,12025.42,15125.92,25.78,0.98
GUANFACINE,Tablet 3 mg (as hydrochloride),11440D,2023-10-01,127.44,67.26,-47.22,8460.75,10344.92,22.27,0.97
GUANFACINE,Tablet 4 mg (as hydrochloride),11441E,2023-10-01,126.24,66.54,-47.29,6107.75,7532.58,23.33,0.97
PALONOSETRON,Injection 250 micrograms (as hydrochloride) in 5 mL,05295Q,2024-04-01,36.48,24.02,-34.15,3452.58,1809.67,-47.59,1.12
SACUBITRIL + VALSARTAN,Tablet containing sacubitril 24.3 mg with valsartan 25.7 mg,11123K,2025-04-01,192.46,100.46,-47.8,27736.0,29303.42,5.65,0.98
SACUBITRIL + VALSARTAN,Tablet containing sacubitril 48.6 mg with valsartan 51.4 mg,11131W,2025-04-01,192.55,100.5,-47.8,18792.17,18519.08,-1.45,0.98
SACUBITRIL + VALSARTAN,Tablet containing sacubitril 97.2 mg with valsartan 102.8 mg,11122J,2025-04-01,192.38,100.45,-47.78,14962.83,14118.5,-5.64,0.98
TICAGRELOR,Tablet 90 mg,01418P,2025-02-01,131.0,101.28,-22.69,14769.08,12663.75,-14.26,0.9
