ITEM_CODE,date,scripts,cost,cost_per_script,DRUG_NAME,FORM/STRENGTH
01418P,2022-07-01,20395,2780672.98,136.34091591076245,TICAGRELOR,Tablet 90 mg
01418P,2022-08-01,20929,2853253.68,136.33014859763963,TICAGRELOR,Tablet 90 mg
01418P,2022-09-01,20121,2743455.33,136.3478619352915,TICAGRELOR,Tablet 90 mg
01418P,2022-10-01,20508,2796175.68,136.34560561732007,TICAGRELOR,Tablet 90 mg
01418P,2022-11-01,20440,2786390.1599999997,136.320457925636,TICAGRELOR,Tablet 90 mg
01418P,2022-12-01,22106,3013382.48,136.3151397810549,TICAGRELOR,Tablet 90 mg
01418P,2023-01-01,18787,2561421.27,136.3400899558205,TICAGRELOR,Tablet 90 mg
01418P,2023-02-01,18599,2535967.13,136.34964944351847,TICAGRELOR,Tablet 90 mg
01418P,2023-03-01,20838,2840786.21,136.3272007870237,TICAGRELOR,Tablet 90 mg
01418P,2023-04-01,19159,2487779.57,129.84913461036587,TICAGRELOR,Tablet 90 mg
01418P,2023-05-01,21044,2732558.9799999995,129.84978996388517,TICAGRELOR,Tablet 90 mg
01418P,2023-06-01,19895,2583556.7,129.85959788891682,TICAGRELOR,Tablet 90 mg
01418P,2023-07-01,20180,2637332.03,130.69038800792862,TICAGRELOR,Tablet 90 mg
01418P,2023-08-01,20885,2729604.4699999997,130.69688628202059,TICAGRELOR,Tablet 90 mg
01418P,2023-09-01,19509,2550298.73,130.72421600287046,TICAGRELOR,Tablet 90 mg
01418P,2023-10-01,19487,2547661.68,130.73647457279213,TICAGRELOR,Tablet 90 mg
01418P,2023-11-01,18322,2395221.82,130.729277371466,TICAGRELOR,Tablet 90 mg
01418P,2023-12-01,18823,2461234.7199999997,130.75677203421344,TICAGRELOR,Tablet 90 mg
01418P,2024-01-01,16024,2095034.65,130.74355029955066,TICAGRELOR,Tablet 90 mg
01418P,2024-02-01,15724,2056204.4500000002,130.76853535995932,TICAGRELOR,Tablet 90 mg
01418P,2024-03-01,15719,2055473.27,130.76361536993448,TICAGRELOR,Tablet 90 mg
01418P,2024-04-01,15633,2043342.4100000001,130.7069922599629,TICAGRELOR,Tablet 90 mg
01418P,2024-05-01,15853,2072432.47,130.72809373620134,TICAGRELOR,Tablet 90 mg
01418P,2024-06-01,14226,1860134.81,130.75599676648392,TICAGRELOR,Tablet 90 mg
01418P,2024-07-01,15176,1991037.7599999998,131.19647865050078,TICAGRELOR,Tablet 90 mg
01418P,2024-08-01,14724,1931162.47,131.15746196685683,TICAGRELOR,Tablet 90 mg
01418P,2024-09-01,13950,1829969.83,131.1806329749104,TICAGRELOR,Tablet 90 mg
01418P,2024-10-01,14539,1906915.78,131.1586615310544,TICAGRELOR,Tablet 90 mg
01418P,2024-11-01,13913,1825109.09,131.18012578164308,TICAGRELOR,Tablet 90 mg
01418P,2024-12-01,14866,1950593.51,131.2117254136957,TICAGRELOR,Tablet 90 mg
01418P,2025-01-01,12906,1693099.47,131.18700371920036,TICAGRELOR,Tablet 90 mg
01418P,2025-02-01,12157,1229180.06,101.1088311261002,TICAGRELOR,Tablet 90 mg
01418P,2025-03-01,13207,1335019.7,101.08425077610357,TICAGRELOR,Tablet 90 mg
01418P,2025-04-01,12603,1274245.71,101.10653891930492,TICAGRELOR,Tablet 90 mg
01418P,2025-05-01,13357,1349735.22,101.0507763719398,TICAGRELOR,Tablet 90 mg
01418P,2025-06-01,12433,1257003.16,101.10216037963484,TICAGRELOR,Tablet 90 mg
01418P,2025-07-01,13241,1342745.9300000002,101.40819651083756,TICAGRELOR,Tablet 90 mg
01418P,2025-08-01,12550,1272728.83,101.41265577689244,TICAGRELOR,Tablet 90 mg
